
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 35 | Best val score -0.833800 | DKL-prior 0.000445 | BCE 0.497287 | auROC 0.8338:   7%|▋         | 36/500 [18:05<3:51:30, 29.94s/it]
[VAL] Best epoch 35 | Best val score -0.833800 | DKL-prior 0.000445 | BCE 0.497287 | auROC 0.8338:   7%|▋         | 37/500 [18:35<3:50:39, 29.89s/it]
[VAL] Best epoch 38 | Best val score -0.834264 | DKL-prior 0.000455 | BCE 0.493904 | auROC 0.8343:   7%|▋         | 37/500 [19:05<3:50:39, 29.89s/it]
[VAL] Best epoch 38 | Best val score -0.834264 | DKL-prior 0.000455 | BCE 0.493904 | auROC 0.8343:   7%|▋         | 37/500 [19:05<3:50:39, 29.89s/it]
[VAL] Best epoch 38 | Best val score -0.834264 | DKL-prior 0.000455 | BCE 0.493904 | auROC 0.8343:   8%|▊         | 38/500 [19:05<3:50:29, 29.93s/it]
[VAL] Best epoch 38 | Best val score -0.834264 | DKL-prior 0.000455 | BCE 0.493904 | auROC 0.8343:   8%|▊         | 39/500 [19:34<3:49:54, 29.92s/it]
[VAL] Best epoch 38 | Best val score -0.834264 | DKL-prior 0.000455 | BCE 0.493904 | auROC 0.8343:   8%|▊         | 40/500 [20:04<3:49:33, 29.94s/it]
[VAL] Best epoch 41 | Best val score -0.838960 | DKL-prior 0.000396 | BCE 0.486412 | auROC 0.8390:   8%|▊         | 40/500 [20:34<3:49:33, 29.94s/it]
[VAL] Best epoch 41 | Best val score -0.838960 | DKL-prior 0.000396 | BCE 0.486412 | auROC 0.8390:   8%|▊         | 40/500 [20:34<3:49:33, 29.94s/it]
[VAL] Best epoch 41 | Best val score -0.838960 | DKL-prior 0.000396 | BCE 0.486412 | auROC 0.8390:   8%|▊         | 41/500 [20:34<3:49:07, 29.95s/it]
[VAL] Best epoch 42 | Best val score -0.843454 | DKL-prior 0.000484 | BCE 0.482785 | auROC 0.8435:   8%|▊         | 41/500 [21:04<3:49:07, 29.95s/it]
[VAL] Best epoch 42 | Best val score -0.843454 | DKL-prior 0.000484 | BCE 0.482785 | auROC 0.8435:   8%|▊         | 41/500 [21:04<3:49:07, 29.95s/it]
[VAL] Best epoch 42 | Best val score -0.843454 | DKL-prior 0.000484 | BCE 0.482785 | auROC 0.8435:   8%|▊         | 42/500 [21:04<3:48:19, 29.91s/it]
[VAL] Best epoch 42 | Best val score -0.843454 | DKL-prior 0.000484 | BCE 0.482785 | auROC 0.8435:   9%|▊         | 43/500 [21:34<3:46:53, 29.79s/it]
[VAL] Best epoch 44 | Best val score -0.844012 | DKL-prior 0.000410 | BCE 0.481412 | auROC 0.8440:   9%|▊         | 43/500 [22:04<3:46:53, 29.79s/it]
[VAL] Best epoch 44 | Best val score -0.844012 | DKL-prior 0.000410 | BCE 0.481412 | auROC 0.8440:   9%|▊         | 43/500 [22:04<3:46:53, 29.79s/it]
[VAL] Best epoch 44 | Best val score -0.844012 | DKL-prior 0.000410 | BCE 0.481412 | auROC 0.8440:   9%|▉         | 44/500 [22:04<3:46:29, 29.80s/it]
[VAL] Best epoch 44 | Best val score -0.844012 | DKL-prior 0.000410 | BCE 0.481412 | auROC 0.8440:   9%|▉         | 45/500 [22:34<3:46:20, 29.85s/it]
[VAL] Best epoch 44 | Best val score -0.844012 | DKL-prior 0.000410 | BCE 0.481412 | auROC 0.8440:   9%|▉         | 46/500 [23:04<3:46:30, 29.94s/it]
[VAL] Best epoch 44 | Best val score -0.844012 | DKL-prior 0.000410 | BCE 0.481412 | auROC 0.8440:   9%|▉         | 47/500 [23:34<3:46:18, 29.98s/it]
[VAL] Best epoch 48 | Best val score -0.844501 | DKL-prior 0.000492 | BCE 0.479745 | auROC 0.8445:   9%|▉         | 47/500 [24:04<3:46:18, 29.98s/it]
[VAL] Best epoch 48 | Best val score -0.844501 | DKL-prior 0.000492 | BCE 0.479745 | auROC 0.8445:   9%|▉         | 47/500 [24:04<3:46:18, 29.98s/it]
[VAL] Best epoch 48 | Best val score -0.844501 | DKL-prior 0.000492 | BCE 0.479745 | auROC 0.8445:  10%|▉         | 48/500 [24:04<3:46:16, 30.04s/it]
[VAL] Best epoch 49 | Best val score -0.852234 | DKL-prior 0.000444 | BCE 0.470553 | auROC 0.8522:  10%|▉         | 48/500 [24:34<3:46:16, 30.04s/it]
[VAL] Best epoch 49 | Best val score -0.852234 | DKL-prior 0.000444 | BCE 0.470553 | auROC 0.8522:  10%|▉         | 48/500 [24:34<3:46:16, 30.04s/it]
[VAL] Best epoch 49 | Best val score -0.852234 | DKL-prior 0.000444 | BCE 0.470553 | auROC 0.8522:  10%|▉         | 49/500 [24:34<3:45:22, 29.98s/it]
[VAL] Best epoch 49 | Best val score -0.852234 | DKL-prior 0.000444 | BCE 0.470553 | auROC 0.8522:  10%|█         | 50/500 [25:04<3:44:32, 29.94s/it]
[VAL] Best epoch 49 | Best val score -0.852234 | DKL-prior 0.000444 | BCE 0.470553 | auROC 0.8522:  10%|█         | 51/500 [25:33<3:43:38, 29.88s/it]
[VAL] Best epoch 49 | Best val score -0.852234 | DKL-prior 0.000444 | BCE 0.470553 | auROC 0.8522:  10%|█         | 52/500 [26:03<3:43:35, 29.95s/it]
[VAL] Best epoch 49 | Best val score -0.852234 | DKL-prior 0.000444 | BCE 0.470553 | auROC 0.8522:  11%|█         | 53/500 [26:33<3:43:08, 29.95s/it]
[VAL] Best epoch 54 | Best val score -0.852243 | DKL-prior 0.000475 | BCE 0.473360 | auROC 0.8522:  11%|█         | 53/500 [27:03<3:43:08, 29.95s/it]
[VAL] Best epoch 54 | Best val score -0.852243 | DKL-prior 0.000475 | BCE 0.473360 | auROC 0.8522:  11%|█         | 53/500 [27:03<3:43:08, 29.95s/it]
[VAL] Best epoch 54 | Best val score -0.852243 | DKL-prior 0.000475 | BCE 0.473360 | auROC 0.8522:  11%|█         | 54/500 [27:03<3:42:16, 29.90s/it]
[VAL] Best epoch 55 | Best val score -0.852467 | DKL-prior 0.000481 | BCE 0.474294 | auROC 0.8525:  11%|█         | 54/500 [27:33<3:42:16, 29.90s/it]
[VAL] Best epoch 55 | Best val score -0.852467 | DKL-prior 0.000481 | BCE 0.474294 | auROC 0.8525:  11%|█         | 54/500 [27:33<3:42:16, 29.90s/it]
[VAL] Best epoch 55 | Best val score -0.852467 | DKL-prior 0.000481 | BCE 0.474294 | auROC 0.8525:  11%|█         | 55/500 [27:33<3:41:50, 29.91s/it]
[VAL] Best epoch 55 | Best val score -0.852467 | DKL-prior 0.000481 | BCE 0.474294 | auROC 0.8525:  11%|█         | 56/500 [28:03<3:41:15, 29.90s/it]
[VAL] Best epoch 55 | Best val score -0.852467 | DKL-prior 0.000481 | BCE 0.474294 | auROC 0.8525:  11%|█▏        | 57/500 [28:33<3:40:06, 29.81s/it]
[VAL] Best epoch 58 | Best val score -0.855473 | DKL-prior 0.000472 | BCE 0.469228 | auROC 0.8555:  11%|█▏        | 57/500 [29:02<3:40:06, 29.81s/it]
[VAL] Best epoch 58 | Best val score -0.855473 | DKL-prior 0.000472 | BCE 0.469228 | auROC 0.8555:  11%|█▏        | 57/500 [29:02<3:40:06, 29.81s/it]
[VAL] Best epoch 58 | Best val score -0.855473 | DKL-prior 0.000472 | BCE 0.469228 | auROC 0.8555:  12%|█▏        | 58/500 [29:02<3:39:19, 29.77s/it]
[VAL] Best epoch 58 | Best val score -0.855473 | DKL-prior 0.000472 | BCE 0.469228 | auROC 0.8555:  12%|█▏        | 59/500 [29:32<3:38:02, 29.67s/it]
[VAL] Best epoch 58 | Best val score -0.855473 | DKL-prior 0.000472 | BCE 0.469228 | auROC 0.8555:  12%|█▏        | 60/500 [30:01<3:36:46, 29.56s/it]
[VAL] Best epoch 61 | Best val score -0.856483 | DKL-prior 0.000494 | BCE 0.465983 | auROC 0.8565:  12%|█▏        | 60/500 [30:30<3:36:46, 29.56s/it]
[VAL] Best epoch 61 | Best val score -0.856483 | DKL-prior 0.000494 | BCE 0.465983 | auROC 0.8565:  12%|█▏        | 60/500 [30:30<3:36:46, 29.56s/it]
[VAL] Best epoch 61 | Best val score -0.856483 | DKL-prior 0.000494 | BCE 0.465983 | auROC 0.8565:  12%|█▏        | 61/500 [30:30<3:35:57, 29.51s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  12%|█▏        | 61/500 [31:00<3:35:57, 29.51s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  12%|█▏        | 61/500 [31:00<3:35:57, 29.51s/it]
[VAL] Best epoch 62 | Best val score -0.865076 | DKL-prior 0.000446 | BCE 0.455132 | auROC 0.8651:  12%|█▏        | 62/500 [31:00<3:36:39, 29.68s/it]
