
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 49 | Best val score -0.917263 | DKL-prior 0.000522 | BCE 0.370291 | auROC 0.9173:  11%|█         | 53/500 [1:04:11<8:58:10, 72.24s/it]
[VAL] Best epoch 54 | Best val score -0.919950 | DKL-prior 0.000512 | BCE 0.367346 | auROC 0.9199:  11%|█         | 53/500 [1:05:23<8:58:10, 72.24s/it]
[VAL] Best epoch 54 | Best val score -0.919950 | DKL-prior 0.000512 | BCE 0.367346 | auROC 0.9199:  11%|█         | 53/500 [1:05:23<8:58:10, 72.24s/it]
[VAL] Best epoch 54 | Best val score -0.919950 | DKL-prior 0.000512 | BCE 0.367346 | auROC 0.9199:  11%|█         | 54/500 [1:05:23<8:56:34, 72.19s/it]
[VAL] Best epoch 54 | Best val score -0.919950 | DKL-prior 0.000512 | BCE 0.367346 | auROC 0.9199:  11%|█         | 55/500 [1:06:35<8:55:14, 72.17s/it]
[VAL] Best epoch 54 | Best val score -0.919950 | DKL-prior 0.000512 | BCE 0.367346 | auROC 0.9199:  11%|█         | 56/500 [1:07:48<8:54:26, 72.22s/it]
[VAL] Best epoch 54 | Best val score -0.919950 | DKL-prior 0.000512 | BCE 0.367346 | auROC 0.9199:  11%|█▏        | 57/500 [1:09:00<8:53:29, 72.26s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  11%|█▏        | 57/500 [1:10:12<8:53:29, 72.26s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  11%|█▏        | 57/500 [1:10:12<8:53:29, 72.26s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  12%|█▏        | 58/500 [1:10:12<8:52:05, 72.23s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  12%|█▏        | 59/500 [1:11:25<8:51:10, 72.27s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  12%|█▏        | 60/500 [1:12:37<8:50:04, 72.28s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  12%|█▏        | 61/500 [1:13:49<8:48:52, 72.28s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  12%|█▏        | 62/500 [1:15:02<8:47:37, 72.28s/it]
[VAL] Best epoch 58 | Best val score -0.921740 | DKL-prior 0.000523 | BCE 0.357044 | auROC 0.9217:  12%|█▏        | 62/500 [1:16:14<8:58:34, 73.78s/it]
